# scene_id, seg_name, start_timestep, end_timestep
16,seg102319,0,-1
21,seg103913,0,-1
22,seg104444,0,-1
25,seg104980,0,-1
31,seg105887,0,-1
34,seg106250,0,-1
35,seg106648,0,-1
49,seg109636,0,-1
53,seg110170,0,-1
80,seg117188,0,-1
84,seg118463,0,-1
86,seg119178,0,-1
89,seg119284,0,-1
94,seg120278,0,-1
96,seg121618,0,-1
102,seg122514,0,-1
111,seg123392,0,-1
222,seg148106,0,-1
323,seg168016,0,-1
382,seg181118,0,-1
402,seg191876,0,-1
427,seg225932,0,-1
438,seg254789,0,-1
546,seg441423,0,-1
581,seg508351,0,-1
592,seg522233,0,-1
620,seg583504,0,-1
640,seg624282,0,-1
700,seg767010,0,-1
754,seg882250,0,-1
795,seg990779,0,-1
796,seg990914,0,-1
